Date,Description,Original Description,Amount,Cumulative,Transaction Type,Category,Account Name
12/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,6.74,1248.08,debit,Fast Food,Citi® Double Cash Card
12/15/2020,Taco Bell,TACO BELL 735099 3096891886 IL,5.88,1241.34,debit,Fast Food,Citi® Double Cash Card
12/10/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1235.46,debit,Fast Food,Citi® Double Cash Card
12/3/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1226.59,debit,Fast Food,Citi® Double Cash Card
11/24/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.19,1217.72,debit,Fast Food,Citi® Double Cash Card
11/17/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.76,1205.53,debit,Fast Food,Citi® Double Cash Card
11/11/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1194.77,debit,Fast Food,Citi® Double Cash Card
11/7/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.28,1185.9,debit,Fast Food,Citi® Double Cash Card
10/27/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.07,1175.62,debit,Fast Food,Citi® Double Cash Card
10/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,2.54,1165.55,debit,Fast Food,Citi® Double Cash Card
10/20/2020,Taco Bell,TACO BELL 735099 3096891886 IL,7.29,1163.01,debit,Fast Food,Citi® Double Cash Card
10/13/2020,Taco Bell,TACO BELL 735099 3096891886 IL,7.64,1155.72,debit,Fast Food,Citi® Double Cash Card
10/6/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.28,1148.08,debit,Fast Food,Citi® Double Cash Card
9/29/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1136.8,debit,Fast Food,Citi® Double Cash Card
9/26/2020,Taco Bell,TACO BELL 735099 3096891886 IL,23.18,1127.93,debit,Fast Food,Citi® Double Cash Card
9/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,13.19,1104.75,debit,Fast Food,Citi® Double Cash Card
9/14/2020,Taco Bell,TACO BELL 703799 3096891886 IL,8.08,1091.56,debit,Fast Food,Citi® Double Cash Card
9/10/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.08,1083.48,debit,Fast Food,Citi® Double Cash Card
8/25/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.97,1071.4,debit,Fast Food,Citi® Double Cash Card
8/18/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.57,1060.43,debit,Fast Food,Citi® Double Cash Card
